run,label,mainline,steps,health_pass,kl_mean,kl_max,entropy_first,entropy_last,clip_mean,advantage_variance_final_roll,advantage_margin_spearman_roll_mean,anchor_games,anchor_slope_t
repl_03,repl03,1,200,1,0.007844082498922943,0.013567138463258743,0.6779767274856567,0.6578077077865601,0.0012098861714548547,0.8060660027290619,0.629422086321811,0,
repl_04,repl04,1,200,1,0.017159462212002836,0.1133364588022232,0.6453067064285278,0.7588258981704712,0.0011447769356891513,0.7878601150300142,0.6189007309879785,0,
repl_07,long DAPO,1,400,0,0.03775616432307288,0.6456083059310913,0.6580333709716797,0.8283879160881042,0.001132366505698883,0.9631633444177613,0.5438332523429664,0,
rotate_m3_confirm,seat rotate,1,150,1,0.004180016311195989,0.007412285543978214,0.6432282328605652,0.7155606150627136,0.0011473457975080237,0.9222921560555323,0.8944480273296133,256,-0.5721487179287081
apimix_x2_01,API mix,1,200,1,0.0052008335379650815,0.010194672271609306,0.640790581703186,0.6565067172050476,0.0013352121430943954,0.9121709404534936,0.6578153675843782,0,
flash_repl_05,Flash mix,1,200,1,0.008148563541471959,0.01734364777803421,0.6406911611557007,0.6546595096588135,0.0012361678924935405,1.0980846231294101,0.6785517053433409,0,
psro_hetero_ev,heterogeneous,1,100,1,0.003697487435420044,0.0060707698576152325,0.6660210490226746,0.6573243141174316,0.001165375707205385,0.8096780201282537,0.9022843494596092,2016,-0.11198807437437014
leash_kl001,weak-KL ablation,0,150,1,0.005921290499391035,0.010402116924524307,0.6290171146392822,0.6577479839324951,0.0012557907516990477,1.0693661874817042,0.9044649824468941,2600,0.580371080561404
